Starting featured image processing at Wed Feb 11 04:58:22 PM CST 2026
FAIL: 2016/03/26 - no featured image URL found in HTML
SKIP: 2016/03/29/import-an-excel-file-into-powerbi - already has featured image
SUCCESS: 2020/04/07 - created featured.png and thumbnail.png
INFO: 2020/04/16 - downloading image from https://powerbitips03.blob.core.windows.net/blobpowerbitips03/wp-content/uploads/2020/04/Feature-1-1.png
SUCCESS: 2020/04/16 - created featured.png and thumbnail.png
INFO: 2020/05/06 - downloading image from https://powerbitips03.blob.core.windows.net/blobpowerbitips03/wp-content/uploads/2020/05/Lasso-and-Shortcut.png
SUCCESS: 2020/05/06 - created featured.png and thumbnail.png
SUCCESS: 2020/05/08 - created featured.png and thumbnail.png
SUCCESS: 2020/05/12 - created featured.png and thumbnail.png
INFO: 2020/05/14 - downloading image from https://powerbitips03.blob.core.windows.net/blobpowerbitips03/wp-content/uploads/2020/05/Feature-–-1.png
SUCCESS: 2020/05/14 - created featured.png and thumbnail.png
SUCCESS: 2020/05/19 - created featured.png and thumbnail.png
SUCCESS: 2020/05/25 - created featured.png and thumbnail.png
SUCCESS: 2020/05/29 - created featured.png and thumbnail.png
INFO: 2020/06/03 - downloading image from https://powerbitips03.blob.core.windows.net/blobpowerbitips03/wp-content/uploads/2020/05/Feature-–-2.png
SUCCESS: 2020/06/03 - created featured.png and thumbnail.png
SUCCESS: 2020/06/08 - created featured.png and thumbnail.png
SUCCESS: 2020/06/16 - created featured.png and thumbnail.png
SUCCESS: 2020/07/01 - created featured.png and thumbnail.png
SUCCESS: 2020/07/15 - created featured.png and thumbnail.png
SUCCESS: 2020/07/21 - created featured.png and thumbnail.png
SUCCESS: 2020/07/22 - created featured.png and thumbnail.png
INFO: 2020/07/31 - downloading image from https://powerbitips03.blob.core.windows.net/blobpowerbitips03/wp-content/uploads/2020/08/Feature-Image.png
SUCCESS: 2020/07/31 - created featured.png and thumbnail.png
SUCCESS: 2020/08/07 - created featured.png and thumbnail.png
SUCCESS: 2020/08/13 - created featured.png and thumbnail.png
SUCCESS: 2020/08/13 - created featured.png and thumbnail.png
SUCCESS: 2020/08/31 - created featured.png and thumbnail.png
INFO: 2020/09/08 - downloading image from https://powerbitips03.blob.core.windows.net/blobpowerbitips03/wp-content/uploads/2020/09/Manual-Data-Table-Refresh-1.png
SUCCESS: 2020/09/08 - created featured.png and thumbnail.png
INFO: 2020/09/29 - downloading image from https://powerbitips03.blob.core.windows.net/blobpowerbitips03/wp-content/uploads/2020/09/Feature-Starter.png
SUCCESS: 2020/09/29 - created featured.png and thumbnail.png
INFO: 2020/09/29 - downloading image from https://powerbitips03.blob.core.windows.net/blobpowerbitips03/wp-content/uploads/2020/09/Feature-Starter.png
SUCCESS: 2020/09/29 - created featured.png and thumbnail.png
SUCCESS: 2020/09/30 - created featured.png and thumbnail.png
INFO: 2020/10/15 - downloading image from https://powerbitips03.blob.core.windows.net/blobpowerbitips03/wp-content/uploads/2020/10/PowerBI-Quiz.png
SUCCESS: 2020/10/15 - created featured.png and thumbnail.png
SKIP: 2020/10/22/customize-the-default-dataset - already has featured image
SKIP: 2020/10/23/mvps-react-october-2020 - already has featured image
SKIP: 2020/10/23/power-bi-is-part-of-the-greater-data-solution - already has featured image
SKIP: 2020/10/26/html-content-custom-visual - already has featured image
SKIP: 2020/10/29/milwaukee-brew-city-pug-oct-2020 - already has featured image
SKIP: 2020/10/30/mirabile-notitia-power-bi-with-harry-potter - already has featured image
SKIP: 2020/11/18/building-a-power-bi-admin-view-using-power-bi-apis - already has featured image
SKIP: 2020/11/18/power-bi-field-finder-v2 - already has featured image
SKIP: 2020/12/13/power-bi-architecture-in-a-data-solution - already has featured image
SKIP: 2020/12/16/power-bi-direct-query-composite-models-amazing - already has featured image
SKIP: 2020/12/22/phil-seamark-on-aggregation-tables - already has featured image

========================================
Processing complete at Wed Feb 11 04:59:07 PM CST 2026
SUCCESS: 158
FAILED: 1
SKIPPED: 12
